lora_mac-INFO-  2021-08-05 15:14:55,457-Init MAC
lora_phy-INFO-  2021-08-05 15:14:55,458-Init PHY
lora_phy-INFO-  2021-08-05 15:14:55,461-PHY TX:mac pause
lora_phy-INFO-  2021-08-05 15:14:55,474-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-05 15:14:55,489-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-05 15:14:55,496-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 15:14:58,152-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-23-g8118b245d-dirty
main-DEBUG-  2021-08-05 15:14:58,154-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-05 15:14:58,156-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-05 15:14:58,157-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-05 15:14:58,158-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-05 15:14:58,174-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-05 15:14:58,176-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-05 15:14:58,176-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-05 15:14:58,177-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-05 15:14:58,177-[0: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-05 15:14:58,196-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-05 15:14:58,197-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-05 15:14:58,197-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-05 15:14:58,199-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-05 15:14:58,200-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-05 15:14:58,519-[1: INFO: App       ] Welcome server
main-DEBUG-  2021-08-05 15:15:04,167-[6: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-05 15:15:04,168-[6: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-05 15:15:04,170-[6: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-05 15:15:04,171-[6: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-05 15:15:04,172-[6: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-05 15:15:04,173-[6: DBG : LoRa MAC  ] initialization complete
