lora_ip-INFO-  2021-08-06 17:09:59,770-Init IP layer
lora_mac-INFO-  2021-08-06 17:09:59,770-Init MAC
lora_phy-INFO-  2021-08-06 17:09:59,770-Init PHY
lora_phy-INFO-  2021-08-06 17:09:59,782-PHY TX:mac pause
lora_ip-DEBUG-  2021-08-06 17:09:59,784-listener registered !
lora_phy-INFO-  2021-08-06 17:09:59,798-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-06 17:09:59,815-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-06 17:09:59,822-PHY TX:radio rx 0
main-DEBUG-  2021-08-06 17:10:01,390-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-24-gf18a6e752-dirty
main-DEBUG-  2021-08-06 17:10:01,392-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-06 17:10:01,393-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-06 17:10:01,394-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-06 17:10:01,396-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-06 17:10:01,413-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-06 17:10:01,414-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-06 17:10:01,414-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-06 17:10:01,415-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-06 17:10:01,428-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-06 17:10:01,428-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-06 17:10:01,429-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-06 17:10:01,430-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-06 17:10:01,751-[1: INFO: App       ] Welcome server
main-DEBUG-  2021-08-06 17:10:04,553-[3: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-06 17:10:04,554-[3: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-06 17:10:04,556-[3: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-06 17:10:04,557-[3: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-06 17:10:04,558-[3: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-06 17:10:04,559-[3: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-06 17:10:04,560-[3: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-06 17:10:04,574-[3: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-06 17:10:04,588-[3: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-06 17:10:04,598-[3: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-06 17:10:05,604-[4: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-06 17:10:05,615-[4: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-06 17:10:05,632-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-06 17:10:05,632-RX process receive
lora_mac-DEBUG-  2021-08-06 17:10:05,632-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-06 17:10:05,633-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-06 17:10:05,633-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-06 17:10:05,633-look child with prefix: 27
lora_mac-DEBUG-  2021-08-06 17:10:05,633-child is: None
lora_mac-INFO-  2021-08-06 17:10:05,633-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-06 17:10:05,634-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-06 17:10:05,634-send join response
lora_phy-INFO-  2021-08-06 17:10:05,634-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-06 17:10:05,635-RX process: mac_rx end
lora_mac-DEBUG-  2021-08-06 17:10:05,635-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-06 17:10:05,635-can listen: True
lora_mac-DEBUG-  2021-08-06 17:10:05,635-is_listen: False
lora_phy-INFO-  2021-08-06 17:10:05,635-PHY TX:radio tx 0100001B611B010002
lora_phy-INFO-  2021-08-06 17:10:06,639-PHY TX:radio rx 0
