lora_mac-INFO-  2021-08-05 14:22:48,207-Init MAC
lora_phy-INFO-  2021-08-05 14:22:48,208-Init PHY
lora_phy-INFO-  2021-08-05 14:22:48,211-PHY TX:mac pause
lora_phy-INFO-  2021-08-05 14:22:48,225-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-05 14:22:48,239-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-05 14:22:48,246-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 14:22:50,965-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-22-g23224fbd2-dirty
main-DEBUG-  2021-08-05 14:22:50,968-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-05 14:22:50,969-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-05 14:22:50,970-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-05 14:22:50,971-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-05 14:22:50,987-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-05 14:22:50,988-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-05 14:22:50,989-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-05 14:22:50,990-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-05 14:22:51,005-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-05 14:22:51,006-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-05 14:22:51,006-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-05 14:22:51,007-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-05 14:22:51,008-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-05 14:22:51,347-[1: INFO: App       ] Welcome server
main-DEBUG-  2021-08-05 14:22:51,350-[1: INFO: App       ] start RPL ROOT...
main-DEBUG-  2021-08-05 14:22:51,352-[1: INFO: RPL       ] IPv6 addresses:
main-DEBUG-  2021-08-05 14:22:51,353-[1: INFO: RPL       ] -- fd00::212:4b00:60d:611b
main-DEBUG-  2021-08-05 14:22:51,354-[1: INFO: RPL       ] -- fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-05 14:22:51,365-[1: INFO: RPL       ] reset DIO timer (Init root)
