lora_mac-INFO-  2021-08-03 17:53:14,531-Init MAC
lora_phy-INFO-  2021-08-03 17:53:14,531-Init PHY
lora_phy-INFO-  2021-08-03 17:53:14,535-PHY TX:mac pause
lora_phy-INFO-  2021-08-03 17:53:14,549-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-03 17:53:14,564-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-03 17:53:14,571-PHY TX:radio rx 0
main-DEBUG-  2021-08-03 17:53:17,486-[4: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-03 17:53:17,487-[4: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-03 17:53:17,489-[4: INFO: LoRa MAC  ] Node ID: 24859
main-DEBUG-  2021-08-03 17:53:17,491-[4: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.611b[4: INFO: LoRa MAC  ]
main-DEBUG-  2021-08-03 17:53:17,492-[4: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-03 17:53:17,500-[4: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-03 17:53:17,501-[4: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-03 17:53:17,502-[4: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-03 17:53:17,503-[4: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-03 17:53:17,516-[4: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-03 17:53:17,532-[4: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-03 17:53:17,542-[4: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-03 17:53:18,549-[5: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-03 17:53:18,559-[5: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-03 17:53:18,576-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-03 17:53:18,576-RX process receive
lora_mac-DEBUG-  2021-08-03 17:53:18,576-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-03 17:53:18,576-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-03 17:53:18,577-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-03 17:53:18,577-look child with prefix: 27
lora_mac-DEBUG-  2021-08-03 17:53:18,577-child is: None
lora_mac-INFO-  2021-08-03 17:53:18,577-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-03 17:53:18,578-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-03 17:53:18,578-send join response
lora_phy-INFO-  2021-08-03 17:53:18,578-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-03 17:53:18,578-RX process: mac_rx end
lora_mac-DEBUG-  2021-08-03 17:53:18,578-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-03 17:53:18,579-can listen: True
lora_phy-INFO-  2021-08-03 17:53:18,579-PHY TX:radio tx 0100001B611B010002
lora_mac-DEBUG-  2021-08-03 17:53:18,579-is_listen: False
lora_phy-INFO-  2021-08-03 17:53:19,583-PHY TX:radio rx 0
main-DEBUG-  2021-08-03 17:53:19,640-[6: INFO: LoRa PHY  ] PHY RX:0100001B611B010002
main-DEBUG-  2021-08-03 17:53:19,642-[6: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:27:24859 k:0 seq:0 next:0 cmd:1 data:02
main-DEBUG-  2021-08-03 17:53:19,643-[6: DBG : LoRa MAC  ] JOIN RESPONSE
main-DEBUG-  2021-08-03 17:53:19,644-[6: DBG : LoRa MAC  ] state = READY
main-DEBUG-  2021-08-03 17:53:19,659-[6: DBG : LoRa MAC  ] STOP retransmit timer
main-DEBUG-  2021-08-03 17:53:19,660-[6: INFO: LoRa MAC  ] Lora Root joined
main-DEBUG-  2021-08-03 17:53:19,662-[6: INFO: LoRa MAC  ] Node addr: 2:24859
main-DEBUG-  2021-08-03 17:53:19,663-[6: DBG : LoRa MAC  ] START TX_PROCESS
main-DEBUG-  2021-08-03 17:53:19,664-[6: DBG : LoRa MAC  ] MAC_TX process started
main-DEBUG-  2021-08-03 17:53:19,665-[6: DBG : LoRa MAC  ] SET query timer
