lora_mac-INFO-  2021-08-03 17:23:34,845-Init MAC
lora_phy-INFO-  2021-08-03 17:23:34,845-Init PHY
lora_phy-INFO-  2021-08-03 17:23:34,848-PHY TX:mac pause
lora_phy-INFO-  2021-08-03 17:23:34,862-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-03 17:23:34,876-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-03 17:23:34,883-PHY TX:radio rx 0
main-DEBUG-  2021-08-03 17:23:37,978-[13: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-03 17:23:37,980-[13: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-03 17:23:37,981-[13: INFO: LoRa MAC  ] Node ID: 24859
main-DEBUG-  2021-08-03 17:23:50,982-[136: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-03 17:23:50,983-[136: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-03 17:23:50,986-[136: INFO: LoRa MAC  ] Node ID: 45560
main-DEBUG-  2021-08-03 17:23:50,987-[136: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.b1f8[136: INFO: LoRa MAC  ]
main-DEBUG-  2021-08-03 17:24:23,384-[168: INFO: App       ] Sending request 2 to 5f:756d:6f6e:735f:6172:6e61:7564::
main-DEBUG-  2021-08-03 17:25:24,262-[229: INFO: App       ] Not reachable yet
main-DEBUG-  2021-08-03 17:25:50,790-[13: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.611b[13: INFO: LoRa[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
main-DEBUG-  2021-08-03 17:25:50,791-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 17:25:50,793-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-03 17:25:51,446-[0: INFO: [0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
main-DEBUG-  2021-08-03 17:25:51,448-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 17:25:52,103-[0: INFO: Main      ] - N[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
main-DEBUG-  2021-08-03 17:25:52,105-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 17:25:52,107-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-03 17:25:52,761-[0: INFO: [0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
main-DEBUG-  2021-08-03 17:25:52,763-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 17:25:52,764-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-03 17:25:53,417-[0: [0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
main-DEBUG-  2021-08-03 17:25:53,419-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 17:25:54,076-[0: INFO: Main      ] - Ne[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
main-DEBUG-  2021-08-03 17:25:54,078-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 17:25:54,079-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-03 17:25:54,733-[0: INFO: Main     [0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
main-DEBUG-  2021-08-03 17:25:54,735-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 17:25:55,388-[0: INFO: Main      ] - Net: sicslowp[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
