lora_mac-INFO-  2021-08-03 17:39:56,401-Init MAC
lora_phy-INFO-  2021-08-03 17:39:56,401-Init PHY
lora_phy-INFO-  2021-08-03 17:39:56,404-PHY TX:mac pause
lora_phy-INFO-  2021-08-03 17:39:56,418-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-03 17:39:56,433-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-03 17:39:56,440-PHY TX:radio rx 0
main-DEBUG-  2021-08-03 17:39:59,973-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-18-ga3f6b04c5
main-DEBUG-  2021-08-03 17:39:59,975-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 17:39:59,977-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-03 17:39:59,979-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-03 17:39:59,980-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-03 17:39:59,994-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-03 17:39:59,995-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-03 17:39:59,996-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-03 17:39:59,996-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-03 17:39:59,997-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-03 17:40:00,013-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-03 17:40:00,013-[0: INFO: Interface ] NetStack OFF
main-DEBUG-  2021-08-03 17:40:00,014-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-03 17:40:00,021-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-03 17:40:08,381-[9: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-03 17:40:08,382-[9: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-03 17:40:08,382-[9: INFO: LoRa MAC  ] Node ID: 24859
main-DEBUG-  2021-08-03 17:40:08,384-[9: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.611b[9: INFO: LoRa MAC  ]
main-DEBUG-  2021-08-03 17:40:08,384-[9: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-03 17:40:08,395-[9: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-03 17:40:08,396-[9: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-03 17:40:08,397-[9: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-03 17:40:08,398-[9: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-03 17:40:08,411-[9: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
