lora_ip-INFO-  2021-08-06 17:07:49,862-Init IP layer
lora_mac-INFO-  2021-08-06 17:07:49,862-Init MAC
lora_phy-INFO-  2021-08-06 17:07:49,862-Init PHY
lora_phy-INFO-  2021-08-06 17:07:49,870-PHY TX:mac pause
lora_phy-INFO-  2021-08-06 17:07:49,883-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-06 17:07:49,898-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-06 17:07:49,905-PHY TX:radio rx 0
main-DEBUG-  2021-08-06 17:07:51,551-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-24-gf18a6e752-dirty
main-DEBUG-  2021-08-06 17:07:51,552-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-06 17:07:51,554-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-06 17:07:51,556-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-06 17:07:51,558-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-06 17:07:51,572-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-06 17:07:51,573-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-06 17:07:51,574-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-06 17:07:51,576-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-06 17:07:51,588-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-06 17:07:51,588-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-06 17:07:51,589-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-06 17:07:51,590-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-06 17:07:51,911-[1: INFO: App       ] Welcome server
main-DEBUG-  2021-08-06 17:07:52,666-[1: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-06 17:07:52,668-[1: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-06 17:07:52,670-[1: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-06 17:07:52,671-[1: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-06 17:07:52,672-[1: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-06 17:07:52,673-[1: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-06 17:07:52,674-[1: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-06 17:07:52,685-[1: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-06 17:07:52,701-[1: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-06 17:07:52,711-[1: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-06 17:07:53,718-[2: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-06 17:07:53,729-[2: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-06 17:07:53,745-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-06 17:07:53,745-RX process receive
lora_mac-DEBUG-  2021-08-06 17:07:53,745-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-06 17:07:53,745-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-06 17:07:53,746-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-06 17:07:53,746-look child with prefix: 27
lora_mac-DEBUG-  2021-08-06 17:07:53,746-child is: None
lora_mac-INFO-  2021-08-06 17:07:53,746-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-06 17:07:53,746-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-06 17:07:53,746-send join response
lora_phy-INFO-  2021-08-06 17:07:53,746-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-06 17:07:53,747-RX process: mac_rx end
lora_phy-INFO-  2021-08-06 17:07:53,747-PHY TX:radio tx 0100001B611B010002
lora_mac-DEBUG-  2021-08-06 17:07:53,747-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-06 17:07:53,747-can listen: True
