main-DEBUG-  2021-08-05 14:53:55,400-[4: INFO: Interface ] PREFIX: 2
main-DEBUG-  2021-08-05 14:53:55,400-[4: INFO: RPL       ] IPv6 addresses:
main-DEBUG-  2021-08-05 14:53:55,401-[4: INFO: RPL       ] -- 2a00::212:4b00:60d:611b
main-DEBUG-  2021-08-05 14:53:55,402-[4: INFO: RPL       ] -- fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-05 14:53:55,412-[4: INFO: RPL       ] reset DIO timer (Init root)
main-DEBUG-  2021-08-05 14:53:55,413-[4: INFO: RPL       ] created DAG with instance ID 0, DAG ID 2a00::212:4b00:60d:611b, rank 128
main-DEBUG-  2021-08-05 14:53:55,414-[4: INFO: RPL       ] created a new RPL DAG
main-DEBUG-  2021-08-05 14:53:58,083-[7: INFO: RPL       ] sending a multicast-DIO with rank 128 to ff02::1a
main-DEBUG-  2021-08-05 14:54:04,396-[13: INFO: RPL       ] sending a multicast-DIO with rank 128 to ff02::1a
main-DEBUG-  2021-08-05 14:54:05,349-[14: INFO: LoRa MAC  ] Query timeout !
main-DEBUG-  2021-08-05 14:54:05,351-[14: DBG : LoRa MAC  ] STOP query timer thanks to query_timeout
main-DEBUG-  2021-08-05 14:54:05,353-[14: DBG : LoRa MAC  ] query frame built
main-DEBUG-  2021-08-05 14:54:05,370-[14: DBG : LoRa MAC  ] Enter enqueue_packet with frame: {src:2:24859 dest:1:0 k:0 seq:1 next:0 cmd:6 data:
main-DEBUG-  2021-08-05 14:54:05,370-[14: INFO: LoRa MAC  ] YOOOOOO 1
main-DEBUG-  2021-08-05 14:54:05,371-[14: INFO: LoRa MAC  ] YOOOOOO 2
main-DEBUG-  2021-08-05 14:54:05,372-[14: DBG : LoRa MAC  ] append to buffer
main-DEBUG-  2021-08-05 14:54:05,372-[14: INFO: LoRa MAC  ] YOOOOOO 3
main-DEBUG-  2021-08-05 14:54:05,373-[14: DBG : LoRa MAC  ] post new_tx_frame_event to TX_PROCESS
main-DEBUG-  2021-08-05 14:54:05,393-[14: INFO: LoRa MAC  ] YOOOOOO 4
main-DEBUG-  2021-08-05 14:54:05,394-[14: DBG : LoRa MAC  ] frame from buffer: {src:2:24859 dest:1:0 k:0 seq:1 next:0 cmd:6 data:
main-DEBUG-  2021-08-05 14:54:05,394-[14: DBG : LoRa MAC  ] buffer size: 0
main-DEBUG-  2021-08-05 14:54:05,396-[14: DBG : LoRa MAC  ] frame sended to PHY layer
main-DEBUG-  2021-08-05 14:54:05,405-[14: DBG : LoRa MAC  ] START retransmit timer in mac_tx process
main-DEBUG-  2021-08-05 14:54:05,406-[14: DBG : LoRa MAC  ] Listen during 3 s
main-DEBUG-  2021-08-05 14:54:05,408-[14: DBG : LoRa MAC  ] wait state change to READY
main-DEBUG-  2021-08-05 14:54:05,409-[14: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-05 14:54:05,415-[14: INFO: LoRa PHY  ] PHY TX:radio tx 02611B0100000601
main-DEBUG-  2021-08-05 14:54:06,421-[15: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-05 14:54:06,433-[15: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-05 14:54:06,449-PHY RX:02611B0100000601
lora_mac-DEBUG-  2021-08-05 14:54:06,449-RX process receive
lora_mac-DEBUG-  2021-08-05 14:54:06,449-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-05 14:54:06,449-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-05 14:54:06,449-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=2, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.QUERY: 6>, payload='', seq=1, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:54:06,449-look child with prefix: 2
lora_mac-DEBUG-  2021-08-05 14:54:06,449-child is: Child(2:24859)
lora_mac-DEBUG-  2021-08-05 14:54:06,450-In _on_query
lora_mac-DEBUG-  2021-08-05 14:54:06,450-child buffer empty -> send ack
lora_phy-INFO-  2021-08-05 14:54:06,450-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=2, node_id=24859), command=<MacCommand.ACK: 3>, payload='', seq=1, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:54:06,450-RX process: mac_rx end
lora_phy-INFO-  2021-08-05 14:54:06,450-PHY TX:radio tx 01000002611B0301
lora_mac-DEBUG-  2021-08-05 14:54:06,450-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-05 14:54:06,451-can listen: True
lora_mac-DEBUG-  2021-08-05 14:54:06,451-is_listen: False
lora_phy-INFO-  2021-08-05 14:54:07,455-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 14:54:07,509-[16: INFO: LoRa PHY  ] PHY RX:01000002611B0301
main-DEBUG-  2021-08-05 14:54:07,511-[16: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:2:24859 k:0 seq:1 next:0 cmd:3 data:
main-DEBUG-  2021-08-05 14:54:07,511-[16: INFO: LoRa MAC  ] ACK!
main-DEBUG-  2021-08-05 14:54:07,512-[16: DBG : LoRa MAC  ] STOP retransmit timer thanks to correct ACK
main-DEBUG-  2021-08-05 14:54:07,515-[16: DBG : LoRa MAC  ] state is READY
main-DEBUG-  2021-08-05 14:54:07,516-[16: WARN: LoRa MAC  ] buf not empty: 0
