lora_mac-INFO-  2021-08-05 15:04:56,386-Init MAC
lora_phy-INFO-  2021-08-05 15:04:56,386-Init PHY
lora_phy-INFO-  2021-08-05 15:04:56,390-PHY TX:mac pause
lora_phy-INFO-  2021-08-05 15:04:56,404-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-05 15:04:56,419-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-05 15:04:56,426-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 15:04:58,722-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-23-g8118b245d-dirty
main-DEBUG-  2021-08-05 15:04:58,724-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-05 15:04:58,725-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-05 15:04:58,726-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-05 15:04:58,729-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-05 15:04:58,743-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-05 15:04:58,743-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-05 15:04:58,745-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-05 15:04:58,746-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-05 15:04:58,746-[0: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-05 15:04:58,765-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-05 15:04:58,768-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-05 15:04:58,769-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-05 15:04:58,771-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-05 15:04:58,772-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-05 15:04:59,088-[1: INFO: App       ] Welcome server
main-DEBUG-  2021-08-05 15:05:00,266-[2: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-05 15:05:00,268-[2: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-05 15:05:00,269-[2: DBG : LoRa MAC  ] initial state: 0
