lora_mac-INFO-  2021-08-05 14:26:29,602-Init MAC
lora_phy-INFO-  2021-08-05 14:26:29,602-Init PHY
lora_phy-INFO-  2021-08-05 14:26:29,605-PHY TX:mac pause
lora_phy-INFO-  2021-08-05 14:26:29,618-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-05 14:26:29,633-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-05 14:26:29,640-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 14:26:31,082-[3: INFO: RPL       ] sending a multicast-DIO with rank 128 to ff02::1a
main-DEBUG-  2021-08-05 14:26:31,894-[4: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-05 14:26:31,896-[4: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-05 14:26:31,897-[4: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-05 14:26:31,899-[4: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-05 14:26:31,900-[4: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-05 14:26:31,902-[4: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-05 14:26:31,903-[4: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-05 14:26:31,914-[4: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-05 14:26:31,930-[4: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-05 14:26:31,940-[4: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-05 14:26:32,946-[5: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-05 14:26:32,957-[5: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-05 14:26:32,973-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-05 14:26:32,974-RX process receive
lora_mac-DEBUG-  2021-08-05 14:26:32,974-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-05 14:26:32,974-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-05 14:26:32,975-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:26:32,975-look child with prefix: 27
lora_mac-DEBUG-  2021-08-05 14:26:32,975-child is: None
lora_mac-INFO-  2021-08-05 14:26:32,975-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:26:32,975-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-05 14:26:32,976-send join response
lora_phy-INFO-  2021-08-05 14:26:32,976-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:26:32,976-RX process: mac_rx end
lora_phy-INFO-  2021-08-05 14:26:32,976-PHY TX:radio tx 0100001B611B010002
lora_mac-DEBUG-  2021-08-05 14:26:32,977-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-05 14:26:32,977-can listen: True
lora_mac-DEBUG-  2021-08-05 14:26:32,977-is_listen: False
lora_phy-INFO-  2021-08-05 14:26:33,982-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 14:26:34,038-[6: INFO: LoRa PHY  ] PHY RX:0100001B611B010002
main-DEBUG-  2021-08-05 14:26:34,041-[6: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:27:24859 k:0 seq:0 next:0 cmd:1 data:02
main-DEBUG-  2021-08-05 14:26:34,042-[6: DBG : LoRa MAC  ] JOIN RESPONSE
main-DEBUG-  2021-08-05 14:26:34,043-[6: DBG : LoRa MAC  ] state = READY
main-DEBUG-  2021-08-05 14:26:34,060-[6: DBG : LoRa MAC  ] STOP retransmit timer
main-DEBUG-  2021-08-05 14:26:34,060-[6: INFO: LoRa MAC  ] Lora Root joined
main-DEBUG-  2021-08-05 14:26:34,061-[6: INFO: LoRa MAC  ] Node addr: 2:24859
main-DEBUG-  2021-08-05 14:26:34,062-[6: DBG : LoRa MAC  ] START TX_PROCESS
main-DEBUG-  2021-08-05 14:26:34,062-[6: DBG : LoRa MAC  ] MAC_TX process started
main-DEBUG-  2021-08-05 14:26:34,064-[6: DBG : LoRa MAC  ] SET query timer
main-DEBUG-  2021-08-05 14:26:34,065-[6: INFO: Interface ] RECEIVE LORAMAC JOINED EVENT !
main-DEBUG-  2021-08-05 14:26:34,066-[6: INFO: Interface ] PREFIX: 2
main-DEBUG-  2021-08-05 14:26:40,668-[13: INFO: RPL       ] sending a multicast-DIO with rank 128 to ff02::1a
main-DEBUG-  2021-08-05 14:26:44,035-[16: INFO: LoRa MAC  ] Query timeout !
main-DEBUG-  2021-08-05 14:26:44,037-[16: DBG : LoRa MAC  ] STOP query timer thanks to query_timeout
main-DEBUG-  2021-08-05 14:26:44,038-[16: DBG : LoRa MAC  ] query frame built
main-DEBUG-  2021-08-05 14:26:44,056-[16: DBG : LoRa MAC  ] Enter enqueue_packet with frame: {src:2:24859 dest:1:0 k:0 seq:1 next:0 cmd:6 data:
main-DEBUG-  2021-08-05 14:26:44,059-[16: INFO: LoRa MAC  ] YOOOOOO 1
main-DEBUG-  2021-08-05 14:26:44,060-[16: INFO: LoRa MAC  ] YOOOOOO 2
main-DEBUG-  2021-08-05 14:26:44,060-[16: DBG : LoRa MAC  ] append to buffer
main-DEBUG-  2021-08-05 14:26:44,061-[16: INFO: LoRa MAC  ] YOOOOOO 3
main-DEBUG-  2021-08-05 14:26:44,063-[16: DBG : LoRa MAC  ] post new_tx_frame_event to TX_PROCESS
main-DEBUG-  2021-08-05 14:26:44,079-[16: INFO: LoRa MAC  ] YOOOOOO 4
main-DEBUG-  2021-08-05 14:26:44,080-[16: DBG : LoRa MAC  ] frame from buffer: {src:2:24859 dest:1:0 k:0 seq:1 next:0 cmd:6 data:
main-DEBUG-  2021-08-05 14:26:44,081-[16: DBG : LoRa MAC  ] buffer size: 0
main-DEBUG-  2021-08-05 14:26:44,082-[16: DBG : LoRa MAC  ] frame sended to PHY layer
main-DEBUG-  2021-08-05 14:26:44,091-[16: DBG : LoRa MAC  ] START retransmit timer in mac_tx process
main-DEBUG-  2021-08-05 14:26:44,092-[16: DBG : LoRa MAC  ] Listen during 3 s
main-DEBUG-  2021-08-05 14:26:44,092-[16: DBG : LoRa MAC  ] wait state change to READY
main-DEBUG-  2021-08-05 14:26:44,093-[16: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-05 14:26:44,101-[16: INFO: LoRa PHY  ] PHY TX:radio tx 02611B0100000601
main-DEBUG-  2021-08-05 14:26:45,108-[17: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-05 14:26:45,119-[17: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-05 14:26:45,135-PHY RX:02611B0100000601
lora_mac-DEBUG-  2021-08-05 14:26:45,135-RX process receive
lora_mac-DEBUG-  2021-08-05 14:26:45,135-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-05 14:26:45,135-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-05 14:26:45,135-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=2, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.QUERY: 6>, payload='', seq=1, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:26:45,135-look child with prefix: 2
lora_mac-DEBUG-  2021-08-05 14:26:45,135-child is: Child(2:24859)
lora_mac-DEBUG-  2021-08-05 14:26:45,136-In _on_query
lora_mac-DEBUG-  2021-08-05 14:26:45,136-child buffer empty -> send ack
lora_phy-INFO-  2021-08-05 14:26:45,136-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=2, node_id=24859), command=<MacCommand.ACK: 3>, payload='', seq=1, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:26:45,136-RX process: mac_rx end
lora_phy-INFO-  2021-08-05 14:26:45,136-PHY TX:radio tx 01000002611B0301
lora_mac-DEBUG-  2021-08-05 14:26:45,136-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-05 14:26:45,136-can listen: True
lora_mac-DEBUG-  2021-08-05 14:26:45,136-is_listen: False
lora_phy-INFO-  2021-08-05 14:26:46,140-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 14:26:46,195-[18: INFO: LoRa PHY  ] PHY RX:01000002611B0301
main-DEBUG-  2021-08-05 14:26:46,198-[18: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:2:24859 k:0 seq:1 next:0 cmd:3 data:
