lora_mac-INFO-  2021-08-01 14:44:57,829-Init MAC
lora_phy-INFO-  2021-08-01 14:44:57,829-Init PHY
lora_phy-INFO-  2021-08-01 14:44:57,832-PHY TX:mac pause
lora_phy-INFO-  2021-08-01 14:44:57,846-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-01 14:44:57,861-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-01 14:44:57,868-PHY TX:radio rx 0
main-DEBUG-  2021-08-01 14:45:01,851-[8: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-01 14:45:01,853-[8: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-01 14:45:01,856-[8: INFO: LoRa MAC  ] Node ID: 24859
main-DEBUG-  2021-08-01 14:45:01,858-[8: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.611b[8: INFO: LoRa MAC  ]
main-DEBUG-  2021-08-01 14:45:01,859-[8: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-01 14:45:01,866-[8: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-01 14:45:01,866-[8: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-01 14:45:01,867-[8: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-01 14:45:01,867-[8: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-01 14:45:01,882-[8: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-01 14:45:01,898-[8: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-01 14:45:01,908-[8: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-01 14:45:02,915-[9: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-01 14:45:02,925-[9: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-01 14:45:02,941-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-01 14:45:02,941-RX process receive
lora_mac-DEBUG-  2021-08-01 14:45:02,942-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-01 14:45:02,942-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-01 14:45:02,942-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-01 14:45:02,942-look child with prefix: 27
lora_mac-DEBUG-  2021-08-01 14:45:02,942-child is: None
lora_mac-INFO-  2021-08-01 14:45:02,942-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-01 14:45:02,943-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-01 14:45:02,943-send join response
lora_phy-INFO-  2021-08-01 14:45:02,943-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-01 14:45:02,943-RX process: mac_rx end
lora_mac-DEBUG-  2021-08-01 14:45:02,943-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-01 14:45:02,943-can listen: True
lora_mac-DEBUG-  2021-08-01 14:45:02,943-is_listen: False
lora_phy-INFO-  2021-08-01 14:45:02,943-PHY TX:radio tx 0100001B611B010002
lora_phy-INFO-  2021-08-01 14:45:03,948-PHY TX:radio rx 0
main-DEBUG-  2021-08-01 14:45:04,004-[10: INFO: LoRa PHY  ] PHY RX:0100001B611B010002
main-DEBUG-  2021-08-01 14:45:04,007-[10: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:27:24859 k:0 seq:0 next:0 cmd:1 data:02
main-DEBUG-  2021-08-01 14:45:04,007-[10: DBG : LoRa MAC  ] JOIN RESPONSE
main-DEBUG-  2021-08-01 14:45:04,008-[10: DBG : LoRa MAC  ] state = READY
main-DEBUG-  2021-08-01 14:45:04,024-[10: DBG : LoRa MAC  ] STOP retransmit timer
main-DEBUG-  2021-08-01 14:45:04,025-[10: INFO: LoRa MAC  ] Lora Root joined
main-DEBUG-  2021-08-01 14:45:04,025-[10: INFO: LoRa MAC  ] Node addr: 2:24859
main-DEBUG-  2021-08-01 14:45:04,026-[10: DBG : LoRa MAC  ] START TX_PROCESS
main-DEBUG-  2021-08-01 14:45:04,026-[10: DBG : LoRa MAC  ] MAC_TX process started
main-DEBUG-  2021-08-01 14:45:04,027-[10: DBG : LoRa MAC  ] SET query timer
main-DEBUG-  2021-08-01 14:45:14,000-[20: INFO: LoRa MAC  ] Query timeout !
main-DEBUG-  2021-08-01 14:45:14,002-[20: DBG : LoRa MAC  ] STOP query timer thanks to query_timeout
