lora_mac-INFO-  2021-08-03 17:52:09,751-Init MAC
lora_phy-INFO-  2021-08-03 17:52:09,751-Init PHY
lora_phy-INFO-  2021-08-03 17:52:09,759-PHY TX:mac pause
lora_phy-INFO-  2021-08-03 17:52:09,773-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-03 17:52:09,787-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-03 17:52:09,794-PHY TX:radio rx 0
main-DEBUG-  2021-08-03 17:52:12,752-[6: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-03 17:52:12,753-[6: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-03 17:52:12,754-[6: INFO: LoRa MAC  ] Node ID: 24859
main-DEBUG-  2021-08-03 17:52:12,756-[6: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.611b[6: INFO: LoRa MAC  ]
main-DEBUG-  2021-08-03 17:52:12,758-[6: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-03 17:52:12,765-[6: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-03 17:52:12,766-[6: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-03 17:52:12,766-[6: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-03 17:52:12,767-[6: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-03 17:52:12,781-[6: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-03 17:52:12,798-[6: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-03 17:52:12,807-[6: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-03 17:52:13,814-[7: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-03 17:52:13,824-[7: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-03 17:52:13,840-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-03 17:52:13,841-RX process receive
lora_mac-DEBUG-  2021-08-03 17:52:13,841-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-03 17:52:13,842-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-03 17:52:13,842-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-03 17:52:13,842-look child with prefix: 27
lora_mac-DEBUG-  2021-08-03 17:52:13,843-child is: None
lora_mac-INFO-  2021-08-03 17:52:13,843-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-03 17:52:13,843-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-03 17:52:13,844-send join response
lora_phy-INFO-  2021-08-03 17:52:13,844-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-03 17:52:13,844-RX process: mac_rx end
lora_phy-INFO-  2021-08-03 17:52:13,845-PHY TX:radio tx 0100001B611B010002
lora_mac-DEBUG-  2021-08-03 17:52:13,845-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-03 17:52:13,845-can listen: True
lora_mac-DEBUG-  2021-08-03 17:52:13,845-is_listen: False
lora_phy-INFO-  2021-08-03 17:52:14,850-PHY TX:radio rx 0
main-DEBUG-  2021-08-03 17:52:14,905-[8: INFO: LoRa PHY  ] PHY RX:0100001B611B010002
main-DEBUG-  2021-08-03 17:52:14,906-[8: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:27:24859 k:0 seq:0 next:0 cmd:1 data:02
main-DEBUG-  2021-08-03 17:52:14,907-[8: DBG : LoRa MAC  ] JOIN RESPONSE
main-DEBUG-  2021-08-03 17:52:14,907-[8: DBG : LoRa MAC  ] state = READY
main-DEBUG-  2021-08-03 17:52:14,925-[8: DBG : LoRa MAC  ] STOP retransmit timer
main-DEBUG-  2021-08-03 17:52:14,925-[8: INFO: LoRa MAC  ] Lora Root joined
main-DEBUG-  2021-08-03 17:52:14,926-[8: INFO: LoRa MAC  ] Node addr: 2:24859
main-DEBUG-  2021-08-03 17:52:14,927-[8: DBG : LoRa MAC  ] START TX_PROCESS
main-DEBUG-  2021-08-03 17:52:14,928-[8: DBG : LoRa MAC  ] MAC_TX process started
main-DEBUG-  2021-08-03 17:52:14,928-[8: DBG : LoRa MAC  ] SET query timer
main-DEBUG-  2021-08-03 17:52:24,899-[18: INFO: LoRa MAC  ] Query timeout !
main-DEBUG-  2021-08-03 17:52:24,901-[18: DBG : LoRa MAC  ] STOP query timer thanks to query_timeout
main-DEBUG-  2021-08-03 17:52:24,903-[18: DBG : LoRa MAC  ] query frame built
main-DEBUG-  2021-08-03 17:52:24,921-[18: DBG : LoRa MAC  ] Enter enqueue_packet with frame: {src:2:24859 dest:1:0 k:0 seq:1 next:0 cmd:6 data:
main-DEBUG-  2021-08-03 17:52:24,921-[18: INFO: LoRa MAC  ] YOOOOOO 1
