lora_mac-INFO-  2021-08-05 15:53:29,717-Init MAC
lora_phy-INFO-  2021-08-05 15:53:29,717-Init PHY
lora_phy-INFO-  2021-08-05 15:53:29,720-PHY TX:mac pause
lora_phy-INFO-  2021-08-05 15:53:29,735-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-05 15:53:29,749-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-05 15:53:29,758-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 15:53:31,747-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-23-g8118b245d-dirty
main-DEBUG-  2021-08-05 15:53:31,749-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-05 15:53:31,751-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-05 15:53:31,753-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-05 15:53:31,755-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-05 15:53:31,768-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-05 15:53:31,768-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-05 15:53:31,770-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-05 15:53:31,771-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-05 15:53:31,771-[0: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-05 15:53:31,790-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-05 15:53:31,790-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-05 15:53:31,791-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-05 15:53:31,792-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-05 15:53:31,792-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-05 15:53:32,113-[1: INFO: App       ] Welcome server
main-DEBUG-  2021-08-05 15:53:32,283-[1: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-05 15:53:32,285-[1: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-05 15:53:32,286-[1: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-05 15:53:32,288-[1: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-05 15:53:32,289-[1: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-05 15:53:32,291-[1: DBG : LoRa MAC  ] initialization complete
