lora_ip-INFO-  2021-08-14 20:32:46,273-Init IP layer
lora_mac-INFO-  2021-08-14 20:32:46,273-Init MAC
lora_phy-INFO-  2021-08-14 20:32:46,273-Init PHY
lora_phy-INFO-  2021-08-14 20:32:46,275-Radio configuration: {'txBufSize': 10, 'rxBufSize': 10, 'port': '/dev/ttyUSB0', 'baudrate': '57600', 'frequence': '868100000', 'bandwidth': '125', 'cr': '4/5', 'pwr': '1', 'sf': 'sf12'}
lora_phy-INFO-  2021-08-14 20:32:46,276-PHY TX:mac pause
lora_phy-INFO-  2021-08-14 20:32:46,276-MAC set watchdog timer to 0 ms
lora_phy-INFO-  2021-08-14 20:32:46,276-MAC switch to reception mode
lora_phy-INFO-  2021-08-14 20:32:46,289-PHY TX:radio set mod lora
lora_phy-INFO-  2021-08-14 20:32:46,295-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-14 20:32:46,310-PHY TX:radio set bw 125
lora_phy-INFO-  2021-08-14 20:32:46,316-PHY TX:radio set cr 4/5
lora_phy-INFO-  2021-08-14 20:32:46,322-PHY TX:radio set pwr 1
lora_phy-INFO-  2021-08-14 20:32:46,328-PHY TX:radio set sf sf12
lora_phy-INFO-  2021-08-14 20:32:46,334-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-14 20:32:46,341-PHY TX:radio rx 0
