lora_ip-INFO-  2021-08-08 18:06:45,107-Init IP layer
lora_mac-INFO-  2021-08-08 18:06:45,107-Init MAC
lora_phy-INFO-  2021-08-08 18:06:45,107-Init PHY
lora_phy-INFO-  2021-08-08 18:06:45,110-PHY TX:mac pause
lora_phy-INFO-  2021-08-08 18:06:45,110-MAC set watchdog timer to 0 ms
lora_phy-INFO-  2021-08-08 18:06:45,110-MAC switch to reception mode
lora_phy-INFO-  2021-08-08 18:06:45,123-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-08 18:06:45,138-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-08 18:06:45,145-PHY TX:radio rx 0
