lora_ip-INFO-  2021-08-14 15:29:50,511-Init IP layer
lora_mac-INFO-  2021-08-14 15:29:50,511-Init MAC
lora_phy-INFO-  2021-08-14 15:29:50,511-Init PHY
lora_phy-INFO-  2021-08-14 15:29:50,513-Radio configuration: {'txBufSize': 10, 'rxBufSize': 10, 'port': '/dev/ttyUSB0', 'baudrate': '57600', 'frequence': '868100000', 'bandwidth': '125', 'cr': '4/5', 'pwr': '1', 'sf': 'sf12'}
lora_phy-INFO-  2021-08-14 15:29:50,514-PHY TX:mac pause
lora_phy-INFO-  2021-08-14 15:29:50,514-MAC set watchdog timer to 0 ms
lora_phy-INFO-  2021-08-14 15:29:50,515-MAC switch to reception mode
lora_phy-INFO-  2021-08-14 15:29:50,527-PHY TX:radio set mod lora
lora_phy-INFO-  2021-08-14 15:29:50,533-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-14 15:29:50,548-PHY TX:radio set bw 125
lora_phy-INFO-  2021-08-14 15:29:50,553-PHY TX:radio set cr 4/5
lora_phy-INFO-  2021-08-14 15:29:50,561-PHY TX:radio set pwr 1
lora_phy-INFO-  2021-08-14 15:29:50,566-PHY TX:radio set sf sf12
lora_phy-INFO-  2021-08-14 15:29:50,572-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-14 15:29:50,579-PHY TX:radio rx 0
lora_phy-INFO-  2021-08-14 15:29:58,596-PHY RX:1B611B0100000000
lora_mac-INFO-  2021-08-14 15:29:58,597-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_phy-INFO-  2021-08-14 15:29:58,597-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_phy-INFO-  2021-08-14 15:29:58,598-MAC switch to reception mode
lora_phy-INFO-  2021-08-14 15:29:58,598-PHY TX:radio tx 0100001B611B010002
lora_phy-INFO-  2021-08-14 15:29:59,602-PHY TX:radio rx 0
lora_phy-INFO-  2021-08-14 15:30:06,993-PHY RX:1B611B0100000000
lora_mac-INFO-  2021-08-14 15:30:06,994-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-INFO-  2021-08-14 15:30:06,994-Child Child(2:24859) already exist i.e. ask retransmission.
