lora_ip-INFO-  2021-08-08 18:10:38,462-Init IP layer
lora_mac-INFO-  2021-08-08 18:10:38,462-Init MAC
lora_phy-INFO-  2021-08-08 18:10:38,462-Init PHY
lora_phy-INFO-  2021-08-08 18:10:38,465-PHY TX:mac pause
lora_phy-INFO-  2021-08-08 18:10:38,465-MAC set watchdog timer to 0 ms
lora_phy-INFO-  2021-08-08 18:10:38,465-MAC switch to reception mode
lora_phy-INFO-  2021-08-08 18:10:38,478-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-08 18:10:38,493-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-08 18:10:38,500-PHY TX:radio rx 0
