lora_ip-INFO-  2021-08-08 18:08:41,219-Init IP layer
lora_mac-INFO-  2021-08-08 18:08:41,219-Init MAC
lora_phy-INFO-  2021-08-08 18:08:41,219-Init PHY
lora_phy-INFO-  2021-08-08 18:08:41,221-PHY TX:mac pause
lora_phy-INFO-  2021-08-08 18:08:41,221-MAC set watchdog timer to 0 ms
lora_phy-INFO-  2021-08-08 18:08:41,222-MAC switch to reception mode
lora_phy-INFO-  2021-08-08 18:08:41,235-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-08 18:08:41,249-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-08 18:08:41,256-PHY TX:radio rx 0
