lora_ip-INFO-  2021-08-08 18:10:49,360-Init IP layer
lora_mac-INFO-  2021-08-08 18:10:49,360-Init MAC
lora_phy-INFO-  2021-08-08 18:10:49,360-Init PHY
lora_phy-INFO-  2021-08-08 18:10:49,363-PHY TX:mac pause
lora_phy-INFO-  2021-08-08 18:10:49,363-MAC set watchdog timer to 0 ms
lora_phy-INFO-  2021-08-08 18:10:49,363-MAC switch to reception mode
lora_phy-INFO-  2021-08-08 18:10:49,376-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-08 18:10:49,392-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-08 18:10:49,399-PHY TX:radio rx 0
