lora_ip-INFO-  2021-08-14 19:57:08,073-Init IP layer
lora_mac-INFO-  2021-08-14 19:57:08,073-Init MAC
lora_phy-INFO-  2021-08-14 19:57:08,073-Init PHY
lora_phy-INFO-  2021-08-14 19:57:08,074-Radio configuration: {'txBufSize': 10, 'rxBufSize': 10, 'port': '/dev/ttyUSB0', 'baudrate': '57600', 'frequence': '868100000', 'bandwidth': '125', 'cr': '4/5', 'pwr': '1', 'sf': 'sf12'}
lora_phy-INFO-  2021-08-14 19:57:08,075-PHY TX:mac pause
lora_phy-INFO-  2021-08-14 19:57:08,075-MAC set watchdog timer to 0 ms
lora_phy-INFO-  2021-08-14 19:57:08,075-MAC switch to reception mode
lora_phy-INFO-  2021-08-14 19:57:08,088-PHY TX:radio set mod lora
lora_phy-INFO-  2021-08-14 19:57:08,095-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-14 19:57:08,110-PHY TX:radio set bw 125
lora_phy-INFO-  2021-08-14 19:57:08,116-PHY TX:radio set cr 4/5
lora_phy-INFO-  2021-08-14 19:57:08,122-PHY TX:radio set pwr 1
lora_phy-INFO-  2021-08-14 19:57:08,127-PHY TX:radio set sf sf12
lora_phy-INFO-  2021-08-14 19:57:08,133-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-14 19:57:08,140-PHY TX:radio rx 0
lora_phy-INFO-  2021-08-14 19:57:29,387-PHY RX:1B611B0100000000
lora_mac-INFO-  2021-08-14 19:57:29,388-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_phy-INFO-  2021-08-14 19:57:29,389-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_phy-INFO-  2021-08-14 19:57:29,389-MAC switch to reception mode
lora_phy-INFO-  2021-08-14 19:57:29,389-PHY TX:radio tx 0100001B611B010002
lora_phy-INFO-  2021-08-14 19:57:30,394-PHY TX:radio rx 0
lora_phy-INFO-  2021-08-14 19:57:31,505-PHY RX:1B611B0100000000
lora_mac-INFO-  2021-08-14 19:57:31,505-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-INFO-  2021-08-14 19:57:31,505-Child Child(2:24859) already exist i.e. ask retransmission.
lora_mac-INFO-  2021-08-14 19:57:31,506-Retransmit JOIN_RESPONSE to 27:24859.
lora_phy-INFO-  2021-08-14 19:57:31,506-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_phy-INFO-  2021-08-14 19:57:31,506-MAC switch to reception mode
lora_phy-INFO-  2021-08-14 19:57:31,507-PHY TX:radio tx 0100001B611B010002
lora_phy-INFO-  2021-08-14 19:57:32,511-PHY TX:radio rx 0
lora_phy-INFO-  2021-08-14 19:57:33,604-PHY RX:1B611B0100000000
lora_mac-INFO-  2021-08-14 19:57:33,605-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-INFO-  2021-08-14 19:57:33,605-Child Child(2:24859) already exist i.e. ask retransmission.
lora_mac-INFO-  2021-08-14 19:57:33,605-Retransmit JOIN_RESPONSE to 27:24859.
lora_phy-INFO-  2021-08-14 19:57:33,605-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_phy-INFO-  2021-08-14 19:57:33,605-MAC switch to reception mode
lora_phy-INFO-  2021-08-14 19:57:33,605-PHY TX:radio tx 0100001B611B010002
lora_phy-INFO-  2021-08-14 19:57:34,610-PHY TX:radio rx 0
lora_phy-INFO-  2021-08-14 19:57:35,704-PHY RX:1B611B0100000000
lora_mac-INFO-  2021-08-14 19:57:35,704-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-INFO-  2021-08-14 19:57:35,705-Child Child(2:24859) already exist i.e. ask retransmission.
lora_mac-INFO-  2021-08-14 19:57:35,705-Max retransmission for JOIN reached -> remove child.
lora_phy-INFO-  2021-08-14 19:57:35,705-MAC switch to reception mode
lora_phy-INFO-  2021-08-14 19:57:35,706-PHY TX:radio rx 0
lora_phy-INFO-  2021-08-14 19:57:52,824-PHY RX:02611B010000820160000000000E1140223D162E000E4F9C50494E472030
lora_mac-INFO-  2021-08-14 19:57:52,825-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=2, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.DATA: 2>, payload='60000000000E1140223D162E000E4F9C50494E472030', seq=1, k=True, has_next=False)
